participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
20,0,100,cue,6,2,4,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,100,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1304
20,0,101,cue,12,6,6,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,101,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,2167
20,0,102,cue,6,4,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,102,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,2418
20,0,103,cue,6,4,2,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,103,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1315
20,0,104,cue,8,2,6,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,104,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1311
20,0,105,cue,6,4,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,105,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1064
20,0,106,cue,6,4,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,106,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1451
20,0,107,cue,8,6,2,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,107,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowup,1,2185
20,0,108,cue,8,6,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,108,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1085
20,0,109,cue,10,6,4,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,109,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1204
20,0,110,cue,8,6,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,110,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowup,1,2399
20,0,111,cue,6,2,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,111,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1500
20,0,112,cue,12,6,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,112,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1338
20,0,113,cue,8,6,2,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
